yorum,aspect,gercek_sentiment,tahmin_sentiment
PC kurulumunu yaptıktan sonra pil seviyesi servis gösteriyordu iade ettim geri yolladılar PC yi sıfırlayıp geri yollamam söylendi sıfırladım ve tekrar yolladım,genel,negatif,yok
batarya bozuk geldi üründe sorun yoktu servis uyarısı verdi geri iade talebi oluşturdum.,kargo,yok,negatif
batarya bozuk geldi üründe sorun yoktu servis uyarısı verdi geri iade talebi oluşturdum.,kalite,pozitif,yok
batarya bozuk geldi üründe sorun yoktu servis uyarısı verdi geri iade talebi oluşturdum.,batarya,negatif,negatif
sıfır aldığım ürün pil servis uyarısı verdi iadeyle uğraşmadım servise gönderdim.trendyol satıcısından almıştım siz siz olun bilindik yerlerden alın,batarya,negatif,negatif
sıfır aldığım ürün pil servis uyarısı verdi iadeyle uğraşmadım servise gönderdim.trendyol satıcısından almıştım siz siz olun bilindik yerlerden alın,genel,negatif,yok
Çok şaşkınım nasıl böyle ürün gönderirler aklım almıyor sıfır kapalı kutu pil şarj olmuyor  servis öneriliyor diyor iade yaptılar neyseki,kargo,yok,notr
Çok şaşkınım nasıl böyle ürün gönderirler aklım almıyor sıfır kapalı kutu pil şarj olmuyor  servis öneriliyor diyor iade yaptılar neyseki,batarya,negatif,notr
Çok şaşkınım nasıl böyle ürün gönderirler aklım almıyor sıfır kapalı kutu pil şarj olmuyor  servis öneriliyor diyor iade yaptılar neyseki,ambalaj,notr,notr
Ürün kusurlu gönderildi..açıldığında şarjı %1di birkaç saat durmasına rağmen dolmadı servis öneriliyor uyarısı verdi. Ayrıca daha yeni aldığım ürünün 2 yıl gara,kargo,yok,negatif
Ürün kusurlu gönderildi..açıldığında şarjı %1di birkaç saat durmasına rağmen dolmadı servis öneriliyor uyarısı verdi. Ayrıca daha yeni aldığım ürünün 2 yıl gara,kalite,negatif,yok
Ürün kusurlu gönderildi..açıldığında şarjı %1di birkaç saat durmasına rağmen dolmadı servis öneriliyor uyarısı verdi. Ayrıca daha yeni aldığım ürünün 2 yıl gara,batarya,negatif,negatif
Ürün kusurlu gönderildi..açıldığında şarjı %1di birkaç saat durmasına rağmen dolmadı servis öneriliyor uyarısı verdi. Ayrıca daha yeni aldığım ürünün 2 yıl gara,ambalaj,yok,negatif
Ürün kusurlu gönderildi..açıldığında şarjı %1di birkaç saat durmasına rağmen dolmadı servis öneriliyor uyarısı verdi. Ayrıca daha yeni aldığım ürünün 2 yıl gara,genel,yok,negatif
Tavsiye etmiyorum. Sıfır ürün arızalı çıktı. Şarj dolmuyor. %1 şarjla geldi. Aynı şarjla iade ettik. Paramızı aldık çok şükür.,kargo,yok,pozitif
Tavsiye etmiyorum. Sıfır ürün arızalı çıktı. Şarj dolmuyor. %1 şarjla geldi. Aynı şarjla iade ettik. Paramızı aldık çok şükür.,kalite,negatif,yok
Tavsiye etmiyorum. Sıfır ürün arızalı çıktı. Şarj dolmuyor. %1 şarjla geldi. Aynı şarjla iade ettik. Paramızı aldık çok şükür.,fiyat,yok,pozitif
Tavsiye etmiyorum. Sıfır ürün arızalı çıktı. Şarj dolmuyor. %1 şarjla geldi. Aynı şarjla iade ettik. Paramızı aldık çok şükür.,batarya,negatif,negatif
Tavsiye etmiyorum. Sıfır ürün arızalı çıktı. Şarj dolmuyor. %1 şarjla geldi. Aynı şarjla iade ettik. Paramızı aldık çok şükür.,genel,negatif,negatif
Garanti süresine çok az kalmış ve pil servisi uyarısı veriyo şarja takmadan çalışmıyor bilgisayarın alt tarafındada yanık izi var 3 4 bin TL üstüne koyun gidip,kalite,negatif,yok
Garanti süresine çok az kalmış ve pil servisi uyarısı veriyo şarja takmadan çalışmıyor bilgisayarın alt tarafındada yanık izi var 3 4 bin TL üstüne koyun gidip,batarya,negatif,negatif
Pil şarj olmuyor servis öneriliyor uyarısı veriyor bu nasıl iş anlamadım acil yardım istiyorum,batarya,negatif,negatif
"Kusurlu mal satılıyor, almayın uyarıyorum sizleri. Aynı mağduriyeti yaşamanızı istemem. Bataryası ölmüş, şarja takılmadan çalışmayan bilgisayar satıyorlar. Tren",kalite,negatif,yok
"Kusurlu mal satılıyor, almayın uyarıyorum sizleri. Aynı mağduriyeti yaşamanızı istemem. Bataryası ölmüş, şarja takılmadan çalışmayan bilgisayar satıyorlar. Tren",batarya,negatif,negatif
Pili bitmiş 3 yıl önce garantisi bitmiş ürünü bana gönderip bu durumu belgelediğim halde 15 günlük süre geçtiğin için almayan satıcı. İsterseniz siz de alın.,kargo,yok,negatif
Pili bitmiş 3 yıl önce garantisi bitmiş ürünü bana gönderip bu durumu belgelediğim halde 15 günlük süre geçtiğin için almayan satıcı. İsterseniz siz de alın.,batarya,negatif,negatif
Pili bitmiş 3 yıl önce garantisi bitmiş ürünü bana gönderip bu durumu belgelediğim halde 15 günlük süre geçtiğin için almayan satıcı. İsterseniz siz de alın.,genel,negatif,yok
0 ürün nasıl bozuk çıkabiliyor aklım almıyor. Pil bozuk çıktı. Pil şarj olmuyor uyarısı veriyor. Güç kablosunu çektiğim anda kapanıyor. 2-3 hafta servisle uğraş,batarya,negatif,negatif
0 ürün nasıl bozuk çıkabiliyor aklım almıyor. Pil bozuk çıktı. Pil şarj olmuyor uyarısı veriyor. Güç kablosunu çektiğim anda kapanıyor. 2-3 hafta servisle uğraş,genel,yok,negatif
Bana pili bozuk ürün gonderdi TRENDYOL saticisi ve degisim/iade talebimi reddedip teknik serviste kendi basimim caresine bakmam soylendi.,batarya,negatif,negatif
Bana pili bozuk ürün gonderdi TRENDYOL saticisi ve degisim/iade talebimi reddedip teknik serviste kendi basimim caresine bakmam soylendi.,genel,negatif,yok
"Maalesef urun elime gectiginde pil servis uyarisi veriyordu, sarj olmuyordu yani hatali urun gonderildi ve iade etmek zorunda kaldim. Almanizi onermem.",batarya,negatif,negatif
"Maalesef urun elime gectiginde pil servis uyarisi veriyordu, sarj olmuyordu yani hatali urun gonderildi ve iade etmek zorunda kaldim. Almanizi onermem.",genel,negatif,yok
Trendyol satıcısından birşey alırken artık bir değil bin kere düşünerek alışveriş yapacağım belki hiç yapmayacağım buradaki yorumlara güvenerek alışveriş yaptım,genel,negatif,negatif
Sıfır kutusunda çıkarıyorsun o da ne üründe çizikler var. Muhtemelen iade edilen ürünleri paketleyip satıyorlar. Trandyoldan alışveriş yapmayacağım bu son. Mevz,kalite,negatif,yok
Sıfır kutusunda çıkarıyorsun o da ne üründe çizikler var. Muhtemelen iade edilen ürünleri paketleyip satıyorlar. Trandyoldan alışveriş yapmayacağım bu son. Mevz,ambalaj,yok,negatif
Sıfır kutusunda çıkarıyorsun o da ne üründe çizikler var. Muhtemelen iade edilen ürünleri paketleyip satıyorlar. Trandyoldan alışveriş yapmayacağım bu son. Mevz,genel,negatif,yok
Sürekli fiyatıyla oynuyorlar,fiyat,negatif,negatif
Cihaz kusurlu çıktı. Bataryasında sıkıntı var kutuyu açtıktan sonra bilgisayarı açtığımda ilk olarak Apple logosu çıkmadı daha sonra şarja taktığımda açıldı. Şa,kalite,negatif,yok
Cihaz kusurlu çıktı. Bataryasında sıkıntı var kutuyu açtıktan sonra bilgisayarı açtığımda ilk olarak Apple logosu çıkmadı daha sonra şarja taktığımda açıldı. Şa,batarya,negatif,negatif
Cihaz kusurlu çıktı. Bataryasında sıkıntı var kutuyu açtıktan sonra bilgisayarı açtığımda ilk olarak Apple logosu çıkmadı daha sonra şarja taktığımda açıldı. Şa,ambalaj,yok,negatif
Cihaz kusurlu çıktı. Bataryasında sıkıntı var kutuyu açtıktan sonra bilgisayarı açtığımda ilk olarak Apple logosu çıkmadı daha sonra şarja taktığımda açıldı. Şa,genel,yok,negatif
Ürünü aldım pil sorunu verdi.şu an servise verdim laptopu.ilk defabilgisayar aldım trendyoldan çok üzüldüm ilk günden servise gitmesine bilgisayarımın.yetkili s,fiyat,yok,pozitif
Ürünü aldım pil sorunu verdi.şu an servise verdim laptopu.ilk defabilgisayar aldım trendyoldan çok üzüldüm ilk günden servise gitmesine bilgisayarımın.yetkili s,batarya,negatif,negatif
Ürünü aldım pil sorunu verdi.şu an servise verdim laptopu.ilk defabilgisayar aldım trendyoldan çok üzüldüm ilk günden servise gitmesine bilgisayarımın.yetkili s,genel,yok,negatif
"Ürünü değişim için iade ettim. Şarjı %1 de kalıyordu sürekli, ürünün garantisini sorgulattım 50 gün kaldığını öğrendim. Yani ürün sorunluydu ben de değişime gön",batarya,negatif,negatif
"Ürünü değişim için iade ettim. Şarjı %1 de kalıyordu sürekli, ürünün garantisini sorgulattım 50 gün kaldığını öğrendim. Yani ürün sorunluydu ben de değişime gön",genel,negatif,negatif
Kargom bugün geldi fakat pil servis öneriliyor olarak gözüküyor ve şarj olmuyor,kargo,notr,notr
Kargom bugün geldi fakat pil servis öneriliyor olarak gözüküyor ve şarj olmuyor,batarya,negatif,negatif
Ürün bozuk geldi iade aldılar ama pili vs bozuk geldi görmeden almayın buradan 2020 çıkışlı alıp stoğa koymuşlar garantisi de bitmek üzere  geldi,kargo,yok,negatif
Ürün bozuk geldi iade aldılar ama pili vs bozuk geldi görmeden almayın buradan 2020 çıkışlı alıp stoğa koymuşlar garantisi de bitmek üzere  geldi,kalite,negatif,yok
Ürün bozuk geldi iade aldılar ama pili vs bozuk geldi görmeden almayın buradan 2020 çıkışlı alıp stoğa koymuşlar garantisi de bitmek üzere  geldi,batarya,negatif,negatif
Ürün bataryası arızalı çıktı. Bilgisayar şarj olmuyor. Depoda yıllardır durmaktan sanırım batarya ölmüş. Firmaya gönderdim değişim için. Fakat firma bana açılmı,batarya,negatif,negatif
Ürün hiçbir şekilde şarj olmuyor kusurlu ürün gönderildi,kargo,yok,negatif
Ürün hiçbir şekilde şarj olmuyor kusurlu ürün gönderildi,kalite,negatif,yok
Ürün hiçbir şekilde şarj olmuyor kusurlu ürün gönderildi,batarya,negatif,negatif
08.08.2023 tarihinde aldığım cihaz 02.02.2023 tarihibde garanti süresi başlamıştır.,genel,negatif,negatif
şimdilik ofis kullanımı için aldık ve sorunsuz gidiyor.,genel,pozitif,pozitif
Oyun oynamak ve iş yapmak istiyorsanız ikisini bir arada yapabileceğiniz bir makine kesinlikle değil,genel,notr,notr
paketleme güzel değildi. üzerinde kırılır ibaresi bile yoktu.,ambalaj,negatif,pozitif
Güzel ürün zaten apple,genel,pozitif,pozitif
macbook güzel geldi tenk yu,kargo,pozitif,pozitif
macbook güzel geldi tenk yu,genel,pozitif,yok
orjinalliğinden şüphe etmiştim ama trendyol orjinal olduğunu söyledi teşekkürler,genel,pozitif,pozitif
Eh işte iyi buna şükür,genel,pozitif,pozitif
İşletim sisteminden dolayı birçok uygulama yüklenmiyor. Bunu göz önünde bulundurun…,genel,negatif,negatif
ürün geldi. Şarja takınca sadece pil % 1 gösteriyor,kargo,yok,pozitif
ürün geldi. Şarja takınca sadece pil % 1 gösteriyor,batarya,negatif,negatif
ürün sarz olmuyor sadece fiste iken çalışıyor,batarya,negatif,yok
ürün sarz olmuyor sadece fiste iken çalışıyor,genel,yok,negatif
uzay grisi sipariş ettim ancak pembe tarzında bir renk geldi ne alakaysa,kargo,yok,pozitif
uzay grisi sipariş ettim ancak pembe tarzında bir renk geldi ne alakaysa,ses_goruntu,yok,negatif
uzay grisi sipariş ettim ancak pembe tarzında bir renk geldi ne alakaysa,genel,negatif,yok
ürün elime ulasti fakat şarj olmuyor %1 geçmiyor,batarya,negatif,negatif
ürün elime ulasti fakat şarj olmuyor %1 geçmiyor,genel,yok,negatif
ürün hafif çizik geldi indirim ve kuponla çok uygun fiyata aldığım icin iade etmedim,kargo,yok,pozitif
ürün hafif çizik geldi indirim ve kuponla çok uygun fiyata aldığım icin iade etmedim,kalite,negatif,yok
ürün hafif çizik geldi indirim ve kuponla çok uygun fiyata aldığım icin iade etmedim,fiyat,pozitif,pozitif
batarya bozuk geldi servise gönderdim,kargo,yok,negatif
batarya bozuk geldi servise gönderdim,batarya,negatif,negatif
sıkıntı yok sadece kutuyu açtıktan sonra garanti suresini kontrol edin,ambalaj,yok,notr
sıkıntı yok sadece kutuyu açtıktan sonra garanti suresini kontrol edin,genel,notr,yok
ürün yamuk geldi,kargo,yok,pozitif
ürün yamuk geldi,kalite,negatif,yok
kızım için aldım üç günde elimize ulaştı,kargo,pozitif,pozitif
kızım için aldım üç günde elimize ulaştı,fiyat,yok,pozitif
Gayet kullanışlı. Üni öğrencisiyim,genel,pozitif,notr
Yaklaşık 20 yıldır telefonumdan bilgisayara Apple kullanıyorum. Asla vazgeçmem,genel,pozitif,pozitif
tamda istediğimiz gibi geldi teşekkür ediyorum,kargo,pozitif,pozitif
tamda istediğimiz gibi geldi teşekkür ediyorum,genel,pozitif,yok
ürünü kızıma aldım beğendi,fiyat,yok,notr
ürünü kızıma aldım beğendi,genel,pozitif,yok
Kardeşime aldım beğendi,fiyat,yok,pozitif
Kardeşime aldım beğendi,genel,pozitif,yok
çok memnunum iyi ki almışım,genel,pozitif,pozitif
Yeni elime geldi çok güzel paketleme saglam ve özenli teşekkür ler trendyol,kargo,pozitif,pozitif
Yeni elime geldi çok güzel paketleme saglam ve özenli teşekkür ler trendyol,ambalaj,pozitif,pozitif
ürün güzel sevdim şarjı uzun süreli,batarya,pozitif,pozitif
ürün güzel sevdim şarjı uzun süreli,genel,pozitif,yok
Ürün güzeldi paketleme sağlam ve güvenilir geldi,kargo,yok,pozitif
Ürün güzeldi paketleme sağlam ve güvenilir geldi,ambalaj,pozitif,pozitif
Ürün güzeldi paketleme sağlam ve güvenilir geldi,genel,pozitif,yok
Gayet güzel oğluma aldım,fiyat,yok,pozitif
Gayet güzel oğluma aldım,genel,pozitif,yok
Ürün elime ulaştı hemen kurulumunu yaptım. Baya beğendim. Batarya konusunda herkes servis istiyor demişti ben öyle bir sorun yaşamadım,kargo,yok,pozitif
Ürün elime ulaştı hemen kurulumunu yaptım. Baya beğendim. Batarya konusunda herkes servis istiyor demişti ben öyle bir sorun yaşamadım,batarya,pozitif,negatif
Ürün elime ulaştı hemen kurulumunu yaptım. Baya beğendim. Batarya konusunda herkes servis istiyor demişti ben öyle bir sorun yaşamadım,genel,pozitif,yok
Güzel ama çok küçük oyuncak gibi paketlenmesi falan güzeldi sorunsuz geldi,kargo,pozitif,pozitif
Güzel ama çok küçük oyuncak gibi paketlenmesi falan güzeldi sorunsuz geldi,kalite,yok,pozitif
Güzel ama çok küçük oyuncak gibi paketlenmesi falan güzeldi sorunsuz geldi,ambalaj,pozitif,pozitif
Güzel ama çok küçük oyuncak gibi paketlenmesi falan güzeldi sorunsuz geldi,genel,pozitif,yok
Seviyorum merkez. Her zamanki apple rahatlığı ❤️,genel,pozitif,pozitif
ürün güzel zaten Apple kalitesi güzel,kalite,pozitif,pozitif
ürün güzel zaten Apple kalitesi güzel,genel,pozitif,yok
Çok iyi bu fiyata,fiyat,pozitif,pozitif
Çok iyi bu fiyata,genel,pozitif,yok
Hızlı geldi severek kullanıyorum,kargo,pozitif,pozitif
Hızlı geldi severek kullanıyorum,genel,pozitif,yok
kaliteli ve güzel geldi.,kargo,pozitif,pozitif
kaliteli ve güzel geldi.,kalite,pozitif,pozitif
16 GB Ram Windows tan 8 GB RAM mac e geçiş yaptım. Oyun için almadım. Cihaz beni çok tatmin etmedi.,genel,negatif,negatif
"Ürün harika, paketlemesi çok iyi , satıcı çok ilgili , sadece kargo çok geç geldi onun için 4 yıldız veriyorum",kargo,negatif,pozitif
"Ürün harika, paketlemesi çok iyi , satıcı çok ilgili , sadece kargo çok geç geldi onun için 4 yıldız veriyorum",ambalaj,pozitif,pozitif
"Ürün harika, paketlemesi çok iyi , satıcı çok ilgili , sadece kargo çok geç geldi onun için 4 yıldız veriyorum",genel,pozitif,yok
"hizlı ve özenli geldi , tesekkürler",kargo,pozitif,pozitif
"hizlı ve özenli geldi , tesekkürler",ambalaj,pozitif,yok
İstediğim bilgisayardı iyi garantisine bakıp,genel,pozitif,pozitif
Bana geldiğinde hiç sarjı yoktu ürün önce açılmadı,kargo,pozitif,negatif
Bana geldiğinde hiç sarjı yoktu ürün önce açılmadı,batarya,negatif,negatif
Sıkıntısız geldi orjinal ürün,kargo,pozitif,pozitif
Sıkıntısız geldi orjinal ürün,genel,pozitif,yok
apple kalitesi,kalite,pozitif,pozitif
Mümkünse daha fazla RAM i olan bir modelini tercih edin,batarya,notr,yok
Mümkünse daha fazla RAM i olan bir modelini tercih edin,genel,notr,notr
Çok hafif inanılmaz. Teşekkürler Trendyol,genel,pozitif,pozitif
Şimdilik bir sorun yok çok şükür,genel,pozitif,pozitif
"tek sıkıntı garanti süremi erkenden başlatmışlar, onun dışında sağlam geldi",kargo,pozitif,pozitif
"tek sıkıntı garanti süremi erkenden başlatmışlar, onun dışında sağlam geldi",genel,negatif,yok
Mükemmel  çok iyi,genel,pozitif,pozitif
çok hafif ve zarif,genel,pozitif,pozitif
Güzel iyi paketleme.,ambalaj,pozitif,pozitif
Güzel iyi paketleme.,genel,pozitif,yok
"Üründe batarya sorunu vardı, ilgili satıcı ile iletişime geçtim ve iade aldılar. Teşekkür ederim",batarya,negatif,negatif
"Üründe batarya sorunu vardı, ilgili satıcı ile iletişime geçtim ve iade aldılar. Teşekkür ederim",genel,pozitif,yok
Sağlam paketleme güvenilir,ambalaj,pozitif,pozitif
Bilgisayar güzel kargoyla ilgili sıkıntı yaşamıştık şikayetimize dönüş yaptılar,kargo,pozitif,pozitif
Bilgisayar güzel kargoyla ilgili sıkıntı yaşamıştık şikayetimize dönüş yaptılar,genel,pozitif,yok
3 günde geldi gayet iyi apple kalitesi 1 puanı faturasını yollamadıkları için kırdım,kargo,pozitif,pozitif
3 günde geldi gayet iyi apple kalitesi 1 puanı faturasını yollamadıkları için kırdım,kalite,pozitif,pozitif
3 günde geldi gayet iyi apple kalitesi 1 puanı faturasını yollamadıkları için kırdım,genel,negatif,yok
"Ürün çok iyi.. sorunsuz ve hızlı ulaştı, teşekkürler.. ancak bu meblağaki bir ürün için fiyata kargo ücreti eklemenizi yadırgadım..",kargo,pozitif,pozitif
"Ürün çok iyi.. sorunsuz ve hızlı ulaştı, teşekkürler.. ancak bu meblağaki bir ürün için fiyata kargo ücreti eklemenizi yadırgadım..",fiyat,negatif,notr
"Ürün çok iyi.. sorunsuz ve hızlı ulaştı, teşekkürler.. ancak bu meblağaki bir ürün için fiyata kargo ücreti eklemenizi yadırgadım..",genel,pozitif,pozitif
Biraz geç ulaştı elimize ama güzel,kargo,negatif,negatif
Biraz geç ulaştı elimize ama güzel,genel,pozitif,yok
bilgisayar güzel ama teslim edilme süresi biraz uzun ama ürün kaliteli,kargo,negatif,negatif
bilgisayar güzel ama teslim edilme süresi biraz uzun ama ürün kaliteli,kalite,pozitif,pozitif
bilgisayar güzel ama teslim edilme süresi biraz uzun ama ürün kaliteli,genel,pozitif,yok
"ben 32kye aldım, ben aldıktan sonra fiyatının düşmesi gerçekten cok sacma...",kargo,negatif,yok
"ben 32kye aldım, ben aldıktan sonra fiyatının düşmesi gerçekten cok sacma...",fiyat,negatif,negatif
şimdilik güzel görünüyor teşekkürler,ses_goruntu,yok,pozitif
şimdilik güzel görünüyor teşekkürler,genel,pozitif,yok
Hızlı Kargo,kargo,pozitif,pozitif
Ürün sağlam. Geç geldi,kargo,negatif,negatif
Ürün sağlam. Geç geldi,kalite,pozitif,yok
Ürün sağlam. Geç geldi,genel,yok,pozitif
ÜRÜNÜ ALACAKLAR DİKKAT: Ürünü aldığımda garanti süresi bitimine 24 değil 16 ay kalmıştı...,genel,negatif,negatif
Bir sıkıntı olmdı,genel,pozitif,pozitif
"Harika ürün, kargo beklediğimden 1-2 gün geç geldi",kargo,negatif,pozitif
"Harika ürün, kargo beklediğimden 1-2 gün geç geldi",kalite,yok,negatif
"Harika ürün, kargo beklediğimden 1-2 gün geç geldi",genel,pozitif,yok
Olması gerekenden sadece 1 gün geç geldi. Onun dışında güzel bir ürün paketleme kargo sağlam şekilde elime ulaştı.,kargo,notr,pozitif
Olması gerekenden sadece 1 gün geç geldi. Onun dışında güzel bir ürün paketleme kargo sağlam şekilde elime ulaştı.,ambalaj,pozitif,pozitif
Olması gerekenden sadece 1 gün geç geldi. Onun dışında güzel bir ürün paketleme kargo sağlam şekilde elime ulaştı.,genel,pozitif,yok
Ürünü aldıktan kısa süre sonra ciddi bir indirime girdi ve taksit sayısı arttırıldı. Keşke o kampanyaya denk gelseydik.,fiyat,negatif,notr
Fena değil,genel,notr,notr
Çok kısa sürede geldi. Garantisi de onaylı. Ancak cihaz sarjdayken kasada elinizi gezdirdiginizde karıncalanma şeklinde elektrik kaçağı yapıyor.,kargo,pozitif,pozitif
Çok kısa sürede geldi. Garantisi de onaylı. Ancak cihaz sarjdayken kasada elinizi gezdirdiginizde karıncalanma şeklinde elektrik kaçağı yapıyor.,kalite,negatif,negatif
Çok kısa sürede geldi. Garantisi de onaylı. Ancak cihaz sarjdayken kasada elinizi gezdirdiginizde karıncalanma şeklinde elektrik kaçağı yapıyor.,batarya,yok,negatif
"Bu ürünü bir yıl kullandıktan sonra söyleyebilirim ki, ürün gerçekten çok iyi ve satın aldığıma asla pişman olmadım",genel,pozitif,pozitif
çok güzel bi ürün şiddetle tavsiye ederim.paketlemesi de süperdi..,ambalaj,pozitif,pozitif
çok güzel bi ürün şiddetle tavsiye ederim.paketlemesi de süperdi..,genel,pozitif,pozitif
Çok çok güzel torunum için aldım harika spriz oldu çok beğenildi teşekkürler,fiyat,yok,pozitif
Çok çok güzel torunum için aldım harika spriz oldu çok beğenildi teşekkürler,genel,pozitif,yok
Bayıldımm çok rahat ve çok kullanışlı,genel,pozitif,pozitif
Apple kaliteli tabiki tartışılmaz severek kullanıyorum:),kalite,pozitif,pozitif
Apple kaliteli tabiki tartışılmaz severek kullanıyorum:),genel,pozitif,yok
BİLGİSİYARA GÜZLİLK DEFA İNTERNETEN CESARET EDİP ALDIM MEMNUNUM,fiyat,yok,pozitif
BİLGİSİYARA GÜZLİLK DEFA İNTERNETEN CESARET EDİP ALDIM MEMNUNUM,genel,pozitif,yok
Çok iyi ben telefonumla kolay eşleşmesi için aldım mükemmel benim işimi görüyor,fiyat,yok,pozitif
Çok iyi ben telefonumla kolay eşleşmesi için aldım mükemmel benim işimi görüyor,genel,pozitif,yok
İnanılmaz memnunum iyi ki almışım dediğim şeylerden biri oldu. Paketleme çok güzeldi ve çok hızlı geldi. Teşekkürler Trendyol.,kargo,pozitif,pozitif
İnanılmaz memnunum iyi ki almışım dediğim şeylerden biri oldu. Paketleme çok güzeldi ve çok hızlı geldi. Teşekkürler Trendyol.,ambalaj,pozitif,pozitif
İnanılmaz memnunum iyi ki almışım dediğim şeylerden biri oldu. Paketleme çok güzeldi ve çok hızlı geldi. Teşekkürler Trendyol.,genel,pozitif,pozitif
çok beğendim o kdr hafif ve güzel ki klavyesi de muhteşem,genel,pozitif,pozitif
Çok güzel bir bilgisayar çok beğendim. İstediğiniz yere çok rahat taşıyabilirsiniz,genel,pozitif,pozitif
Çok güzel paketlenmiş şekilde geldi çok teşekkür ederim çok beğendim kargo süresi de harikaydı,kargo,pozitif,pozitif
Çok güzel paketlenmiş şekilde geldi çok teşekkür ederim çok beğendim kargo süresi de harikaydı,ambalaj,pozitif,pozitif
Çok güzel paketlenmiş şekilde geldi çok teşekkür ederim çok beğendim kargo süresi de harikaydı,genel,pozitif,yok
Çok beğendik ihtiyacı olanı tavsifeye ederim 😊,genel,pozitif,pozitif
Çok çok iyi sorunsuz ulaştı elime mükemmellll,kargo,pozitif,pozitif
Çok çok iyi sorunsuz ulaştı elime mükemmellll,genel,pozitif,yok
Mükemmel bilgisayar her işimi hallediyor çok hafif . Şarjıda çok uzun gidiyor . Apple kalitesi,kalite,pozitif,pozitif
Mükemmel bilgisayar her işimi hallediyor çok hafif . Şarjıda çok uzun gidiyor . Apple kalitesi,batarya,pozitif,pozitif
Mükemmel bilgisayar her işimi hallediyor çok hafif . Şarjıda çok uzun gidiyor . Apple kalitesi,genel,pozitif,yok
Ürün gayet güzel şarj süresi de çok iyi paketlenmesi de çok özenliydi bayıldım tek kelimeyle 💕,batarya,pozitif,pozitif
Ürün gayet güzel şarj süresi de çok iyi paketlenmesi de çok özenliydi bayıldım tek kelimeyle 💕,ambalaj,pozitif,pozitif
Ürün gayet güzel şarj süresi de çok iyi paketlenmesi de çok özenliydi bayıldım tek kelimeyle 💕,genel,pozitif,yok
Çok çok güzel çok beğenerek almıştım zaten boyutu diğer bilgisayarlara göre biraz küçük olsa da ben kendime göre yeterli buluyorum çok pratik ve çok güzel,genel,pozitif,pozitif
