yorum,aspect,sentiment
Aşşırı geç geldi. Paketleme daha özenli olabilirdi. Telefonda sorun yok.,kargo,negatif
Aşşırı geç geldi. Paketleme daha özenli olabilirdi. Telefonda sorun yok.,ambalaj,pozitif
Babam için aldım gayet kullanışlı paketlemede sağlamdı hayasız geldi,kalite,pozitif
Babam için aldım gayet kullanışlı paketlemede sağlamdı hayasız geldi,ambalaj,pozitif
Babama aldık memnun,genel,pozitif
Babama aldım çok güzel,genel,pozitif
Babama almıştım gayet memnun telefondan,genel,pozitif
Babama almıştım paketleme çok özenli değildi ama Allahtan sorunsuz elimize ulaştı,ambalaj,pozitif
Batarya performansı çabuk düştü 100 altına,batarya,negatif
Bayıldımmmm… teslim tarihi 7 nisan gösterirken 6 nisanda geldi teşekkür ederim herkese sabırsızlıkla bekliyordum kavuştum alın aldırın fiyat olarakta dışarıya g,genel,pozitif
Bayıldımmmm… teslim tarihi 7 nisan gösterirken 6 nisanda geldi teşekkür ederim herkese sabırsızlıkla bekliyordum kavuştum alın aldırın fiyat olarakta dışarıya g,kargo,pozitif
Bayıldımmmm… teslim tarihi 7 nisan gösterirken 6 nisanda geldi teşekkür ederim herkese sabırsızlıkla bekliyordum kavuştum alın aldırın fiyat olarakta dışarıya g,fiyat,pozitif
Başarılı beğendim,genel,pozitif
Beklediğimden çok daha hızlı geldi Ayrıca ürün paketlemede mükemmeldi teşekkür ederim çok memnun kaldım herkese tavsiye ederim,genel,pozitif
Beklediğimden çok daha hızlı geldi Ayrıca ürün paketlemede mükemmeldi teşekkür ederim çok memnun kaldım herkese tavsiye ederim,kargo,pozitif
Beklediğimden çok daha hızlı geldi Ayrıca ürün paketlemede mükemmeldi teşekkür ederim çok memnun kaldım herkese tavsiye ederim,ambalaj,pozitif
Ben 1aydır kullanıyorum ve mukemellll kesinlikle tavsiye ediyorum hiç bir sıkıntı olmadı paketleme gayet güzeldi gönül rahatlığıyla alabilirsiniz 😊,genel,pozitif
Ben 1aydır kullanıyorum ve mukemellll kesinlikle tavsiye ediyorum hiç bir sıkıntı olmadı paketleme gayet güzeldi gönül rahatlığıyla alabilirsiniz 😊,ambalaj,pozitif
Ben aldıktan 1 gün sonra fiyatı 300 tl düştü inanılmaz sinirim bozuldu. Paketleme de şaka gibiydi sanki telefon değildi çorap aldık öyle bir paket,genel,negatif
Ben aldıktan 1 gün sonra fiyatı 300 tl düştü inanılmaz sinirim bozuldu. Paketleme de şaka gibiydi sanki telefon değildi çorap aldık öyle bir paket,kalite,negatif
Ben aldıktan 1 gün sonra fiyatı 300 tl düştü inanılmaz sinirim bozuldu. Paketleme de şaka gibiydi sanki telefon değildi çorap aldık öyle bir paket,fiyat,negatif
Ben aldıktan 1 gün sonra fiyatı 300 tl düştü inanılmaz sinirim bozuldu. Paketleme de şaka gibiydi sanki telefon değildi çorap aldık öyle bir paket,ambalaj,negatif
Ben aldım indirim yapıldı,fiyat,negatif
Ben telefonu kamera için almıştım telefonun arka kamerası puslu hep ve canlı çekmiyor iki tane ıphone 11 yan yana getirince diğeri daha canlı ve renkli çekiyor,ses_goruntu,negatif
"Ben telefonun kamerasını beğenmedim, şarjı da bir günü ancak çıkarıyor. İmkanı olanlar bir üst telefonlara yönelsinler.",batarya,negatif
"Ben telefonun kamerasını beğenmedim, şarjı da bir günü ancak çıkarıyor. İmkanı olanlar bir üst telefonlara yönelsinler.",ses_goruntu,negatif
Ben çooook memnunum i phoneye geçmek isteyenler mutlaka alsın,genel,pozitif
Benim motorolo 33 10 daha iyiydi,genel,pozitif
Beğendim güzel,genel,pozitif
Beğendim iyi,genel,pozitif
Beğenmek zorunda mıyım?,genel,notr
"Bir aydır kullanıyorum, herhangi bir sıkıntı yaşamadım gayet memnunum. Satıcı olarak en güvendiğim yerden aldım, paketleme gayet iyidi ve elime çok hızlı ulaştı",genel,pozitif
"Bir aydır kullanıyorum, herhangi bir sıkıntı yaşamadım gayet memnunum. Satıcı olarak en güvendiğim yerden aldım, paketleme gayet iyidi ve elime çok hızlı ulaştı",ambalaj,pozitif
Bir haftadan fazladır kullanıyorum çok memnunum gönül rahatlığıyla alabilirsiniz,genel,pozitif
Bosuk geldi super,genel,negatif
Bu cihazın beyaz rengini siparis ettim fakat siyah rengini yolladılar. Iade etmek istediğimdede ellerinde beyaz rengi mevcut olmadığından siyah gonderdiklerini,genel,negatif
Bu fiyatlarda xiaomi nin daha iyi olduğunu söyleyebilirim. Tecrübeyle sabittir.,fiyat,pozitif
Bu kadar güzel bi paketlemeyle daha önce hiç karşılaşmamıştım. Muhteşem bi paketleme çok teşekkür ederiz.,ambalaj,pozitif
Bu kadar paraya görmeden aldım çöm iyi çıktı tavsiye,genel,pozitif
Bu kadar paraya görmeden aldım çöm iyi çıktı tavsiye,fiyat,pozitif
Bu karalayanlar neye göre yazmış yorumu anlayamadım 1 senedir kullaniyorum bende gencim 23 yasindayim zaten hız tutkunuz yüzünden bozuluyor telefonlar elli kere,kalite,negatif
Bu kargoyu bu şekil yolladağınıza inanıyorum insan bi kutuya daha koyar geldiğinde kargo poşetinin üstünde de yırtıklar vardı telefon nasıl geldi bilmiyorum uma,kargo,negatif
Bu kargoyu bu şekil yolladağınıza inanıyorum insan bi kutuya daha koyar geldiğinde kargo poşetinin üstünde de yırtıklar vardı telefon nasıl geldi bilmiyorum uma,ambalaj,negatif
Bu ne abi hani nerde müşteri memnuniyeti  bu telefonu inçelicem heran gibi bir değişeni olursa o zaman görüşürüz,genel,negatif
Bu ürün halen çok güncel ve fiyatı çok iyi. Appleın en stabil iPhone'u,fiyat,pozitif
Bu ürün yenilenmiş telefon yolluyolar kutusundan tutunda telefonun kendisine kadar her şeyden anlaşılıyor,genel,negatif
Bu ürün yenilenmiş telefon yolluyolar kutusundan tutunda telefonun kendisine kadar her şeyden anlaşılıyor,kalite,negatif
Bukadar özensiz bir kargo daha olamaz sonuçta kargo bir elektronik cihaz alelacele konulmuş gönderilmiş bozulursa kesinlikle iade ederim henüz açmadım tlfnu  üz,kargo,negatif
Bukadar özensiz bir kargo daha olamaz sonuçta kargo bir elektronik cihaz alelacele konulmuş gönderilmiş bozulursa kesinlikle iade ederim henüz açmadım tlfnu  üz,kalite,negatif
Böyle özensiz paketleme görmedim arkadaş paramız bizim pul olmuş 18 bin veripte parasıyla rezillik gören ilk kişimiyim y,fiyat,negatif
Böyle özensiz paketleme görmedim arkadaş paramız bizim pul olmuş 18 bin veripte parasıyla rezillik gören ilk kişimiyim y,ambalaj,negatif
Canım telefonum çok hızlı geldi sorunsuz çıktı şuan kullanıyorum çok güzel teşekkürler trendyol,kargo,pozitif
Cihazımın alt kısmında kasasında lekeler ve izler var. Bu cihaz kullanılmış gibi. Satıcının sorunumu gidermesini talep ediyorum . Fotoğraf ektedir.,kalite,negatif
Cihazımın alt kısmında kasasında lekeler ve izler var. Bu cihaz kullanılmış gibi. Satıcının sorunumu gidermesini talep ediyorum . Fotoğraf ektedir.,kalite,negatif
Cok guzel klasik apple kalitesi her donemde her senede alinir kesinlikle,genel,pozitif
Cok guzel klasik apple kalitesi her donemde her senede alinir kesinlikle,kalite,pozitif
Cok memnun kaldım ancak ıcınde fatura garantı cıkmadı,genel,notr
Daha önce trendyoldan telefon almıştım memnun kaldığım için tekrar sipariş verdim fakat bu sefer ürün kusurlu geldi iade eder etmez para iadesi yapıldı çözüm hı,genel,negatif
Daha önce trendyoldan telefon almıştım memnun kaldığım için tekrar sipariş verdim fakat bu sefer ürün kusurlu geldi iade eder etmez para iadesi yapıldı çözüm hı,kargo,notr
Daha önce trendyoldan telefon almıştım memnun kaldığım için tekrar sipariş verdim fakat bu sefer ürün kusurlu geldi iade eder etmez para iadesi yapıldı çözüm hı,kalite,negatif
Daha önce trendyoldan telefon almıştım memnun kaldığım için tekrar sipariş verdim fakat bu sefer ürün kusurlu geldi iade eder etmez para iadesi yapıldı çözüm hı,fiyat,negatif
Dört yıldır kullandığım telefonumu arkadaşıma tavsiye sonucu aldık ömürlük bir telefon,genel,pozitif
Dün aldım bu gün 1000 lira indirim olmuş hanı dile kolay ucuz bisey almıyoruz böyle olunca da insan üzülüyo. Fiatların bu kadar değişken olmaması taraftarıyım ö,fiyat,negatif
Dün elime geçti çok güzeeeelll.  herhangi bir problem yok şimdilik. içerisinden ara kablo çıkmasına sevindim. Fiyat güncellemesinden önce aldığım için de🤌🏻,fiyat,notr
Ekim ayında aldığım telefon şarjı günde 1 kere şarj etmeme ve tak çıkar yapmama rağmen şuan %96 ve durduğu yerde bile azalıyor. Bu telefonu süs olsun diye mi al,batarya,negatif
Ekranında ufak bir çizikle geldi kullanima engel değil sıfır denen telefonun daha önceden kutusu açılmış belli,kalite,negatif
Ekranında ufak bir çizikle geldi kullanima engel değil sıfır denen telefonun daha önceden kutusu açılmış belli,ses_goruntu,negatif
"Elektronikte net üzerinden almaya karşıydım hep ama ürün sorunsuz ve hızlı bi şekilde elime ulaştı , yaklaşık 2 aydır kullanıyorum hiç bir sıkıntı yok çok memnu",kargo,pozitif
En uyguna trendyol da buldum kamerasına diyicek yok zaten mükemmel telefon tabi alabiliyosanız 13 ve üstü alın :D,genel,pozitif
En uyguna trendyol da buldum kamerasına diyicek yok zaten mükemmel telefon tabi alabiliyosanız 13 ve üstü alın :D,fiyat,pozitif
En uyguna trendyol da buldum kamerasına diyicek yok zaten mükemmel telefon tabi alabiliyosanız 13 ve üstü alın :D,ses_goruntu,pozitif
Erkek arkadaşıma aldım çok beğendi,genel,pozitif
Evet ürünüm geldi fakat ilk günden fazla ısınma oldu bu normal mi,batarya,negatif
EŞİM VE KENDİME ALDIM ÇOK GÜZELDİ PAKETLEME ORJİNAL ÜRÜN BEĞENDİK,kalite,pozitif
EŞİM VE KENDİME ALDIM ÇOK GÜZELDİ PAKETLEME ORJİNAL ÜRÜN BEĞENDİK,ambalaj,pozitif
Eşim icin almıştım sorunsuz şekilde elime ulaştı piyasadan çok daha ucuza geldi herkese tavsiye ederim,genel,pozitif
Eşim icin almıştım sorunsuz şekilde elime ulaştı piyasadan çok daha ucuza geldi herkese tavsiye ederim,kargo,pozitif
Eşim icin almıştım sorunsuz şekilde elime ulaştı piyasadan çok daha ucuza geldi herkese tavsiye ederim,fiyat,pozitif
Eşime aldım çok memnun kaldı paketleme iyi değildi biraz,genel,pozitif
Eşime aldım çok memnun kaldı paketleme iyi değildi biraz,ambalaj,negatif
Eşime hediye aldım 1 seneden beri kullanıyor çok memnun kendisi Aldiktan sonra hemen yorum yapmak istemedim kullanıp değerlendirmek daha iyi•Herkese tavsiye ede,genel,pozitif
Eşime hediye olarak aldım çokk beğendi .. Gerçekten muhhteşem bir telefon fiyatı da çokk uygundu..emeği geçen herrkese çokk teşekkürler ederimm HAAARİKASINIZZ🌟,fiyat,pozitif
Fatura tc kimlik no 111111 şeklinde hatalı olarak yazılmış düzeltilmiş yeni fatura talep ediyorum,genel,negatif
Fatura tc kimlik no 111111 şeklinde hatalı olarak yazılmış düzeltilmiş yeni fatura talep ediyorum,kalite,notr
Fatura ve garanti belgesi gelmedi rica ediyorum ilgilenin,genel,notr
Fatura yok gelmez ise cimerden şikayet edeceğim,genel,negatif
Faturam gelmedi lütfen faturayı gönderin.,genel,notr
Faturam gelmedi yollar mısınız,genel,notr
Faturamı TC me kesmediler.Telefon orjinal,kalite,pozitif
Faturamı istiyorum ben aldığım şeyin faturasını parayı ödeyince almam lazım değilmi e faturaysa e mailime atılması lazım hemen neden bekliyorum hemen faturamın,fiyat,notr
Faturamı ve garanti belgesini göndermediler burdan alacağınıza gidin mediamarktan alın,genel,notr
Faturası gelmedi?,genel,notr
Faturası yok içinde,genel,negatif
Faturası yok nasıl bi iş bu,genel,negatif
Faturasını epostaya gönderecektiniz hala gelmedi mesaj ne zaman göndereceksiniz,genel,notr
Fena sayılmaz,genel,notr
Fiyatı aşırı yükselttiler aldım şimdi indirime girmiş 2000 tl zarara girdim şaka gibi bence orijinalde değil,kalite,negatif
Fiyatı aşırı yükselttiler aldım şimdi indirime girmiş 2000 tl zarara girdim şaka gibi bence orijinalde değil,fiyat,notr
Fiyatına göre uygun ve kullanışlı bir ürün,fiyat,pozitif
Fiyatına göre çok iyi Beğendim,genel,pozitif
Fiyatına göre çok iyi Beğendim,fiyat,pozitif
Fotoğrafta çok belli olmasa da telefonun kenar kısmında ufak bir ezilme var. İade edeceğim.,kalite,negatif
Garanti belgesi içinde olmadığı için bır yıldız verıyorum gerısınde bır sıkıntı yoktu gayet sağlam bit şekilde ulaştı elıme,kalite,pozitif
"Garantisi başlamış ürün gönderildi, faturada yer alan imei bilgisi ve eklediğim görseller aynıdır. Güvenerek almayın. Konuyla ilgili yasal süreçleri başlatacağı",genel,negatif
Gayet basarili ve sorunsuz elime ulasti alacaklara simdiden hayirli olsun,kargo,pozitif
Gayet güzel,genel,pozitif
Gayet güzel 2.alışverişim bu telefondan memnunum teşekkürler,genel,pozitif
Gayet güzel kullanışlı ve sıkıntısız teslim aldım teşekkürler,kargo,pozitif
Gayet güzel kutusu paketlenmesi herseyi çok güzel tereddüt etmeden alabilirsiniz,genel,pozitif
Gayet güzel kutusu paketlenmesi herseyi çok güzel tereddüt etmeden alabilirsiniz,ambalaj,pozitif
Gayet iyi 😇,genel,pozitif
Gayet temiz güzel bi şekilde geldi imailini de okuttım edevletten orjinal ürün satıcıya teşekkürederim,kalite,pozitif
Genel olarak güzel kurulumu zor oldu bizim için sadece,genel,pozitif
Gerçekten çok güzel geldi paketlenmesi çok güzeldi güvenilebilir,ambalaj,pozitif
Guzel  cabuk kargo yok ama,kargo,pozitif
Guzel telefon 3 4 sene rahat goturur ama kargo cok kotu bi adet pat pat 1 kutu sadece  cihaz gonderiyosunuz biraz daha onem alsaniz iyi olur,kargo,notr
Guzel telefon 3 4 sene rahat goturur ama kargo cok kotu bi adet pat pat 1 kutu sadece  cihaz gonderiyosunuz biraz daha onem alsaniz iyi olur,ambalaj,notr
Gönderilen kablo bozuk çıkıyor ve arkasında durmuyorlar kesinlikle almayın 200 300 fazla verin başka yerden Alın,genel,negatif
Gönderilen kablo bozuk çıkıyor ve arkasında durmuyorlar kesinlikle almayın 200 300 fazla verin başka yerden Alın,kalite,negatif
Gönderilen kablo bozuk çıkıyor ve arkasında durmuyorlar kesinlikle almayın 200 300 fazla verin başka yerden Alın,batarya,negatif
Gönül rahatlığıyla alabilirsiniz,genel,pozitif
Gönül rahatlığıyla alabilirsiniz çok beğendim çok güzel,genel,pozitif
Güvenilir bir şekilde geldi güzel,genel,pozitif
Güvenilir ve hızlı bi şekilde geldi problemi yok cihazın tavsiye ederim,genel,pozitif
Güvenle alabilirsiniz kardeşime hediye aldım çok beğendik🤍,genel,pozitif
Güzel beğendim,genel,pozitif
Güzel beğendim 👍🏻,genel,pozitif
Güzel bir teknolojik ürün gayet güzel paketlenmiş hasarsız bir şekilde elime ulaştı teşekkürler,kargo,pozitif
Güzel bir teknolojik ürün gayet güzel paketlenmiş hasarsız bir şekilde elime ulaştı teşekkürler,ambalaj,pozitif
Güzel bir telefon,genel,pozitif
Güzel bir ürün tavsiye ederim,genel,pozitif
Güzel buldum,genel,pozitif
Güzel diğer yerlere göre uygun aldık,fiyat,pozitif
Güzel geldi sağlamdı (çeyizime aldım),kalite,pozitif
Güzel kardeşim icin aldım şuanlık bi sorun yok,genel,pozitif
Güzel kargolama ve güvenilir satıcı,kargo,pozitif
Güzel paketlenmiş hızlı kargo teşekkürler,kargo,pozitif
Güzel paketlenmiş hızlı kargo teşekkürler,ambalaj,pozitif
Güzel paketli şekilde ulaştı hızlı teslimat teşekkürler,kargo,pozitif
Güzel sorunsuz ulaştı elime teşekkürler,genel,pozitif
Güzel telefon beklediğim gibi tek sorunu geldiğinde önce şarj etmek istedim ısıdan dolayı şarj uyarısı verdi kullandıkça güncelleme yapacağım,batarya,negatif
Güzel ürün beğendim,genel,pozitif
Harika süper hiçbir sorun yok klasik Apple kalitesi,genel,pozitif
Harika süper hiçbir sorun yok klasik Apple kalitesi,kalite,pozitif
Harika. Hediye aldım. Bu fiyata bu kalite. Mükemmel,genel,pozitif
Harika. Hediye aldım. Bu fiyata bu kalite. Mükemmel,kalite,pozitif
Harika. Hediye aldım. Bu fiyata bu kalite. Mükemmel,fiyat,pozitif
Hayaldi gerçek oldu,genel,pozitif
Herkes sağlam diye iyi yorum yazıyor ürünü kullandım  1 ay yorum yapıyorum şimdiden kasıyor kamerası falan sıklıkla titriyor önermiyorum 1 2 bine sebep almayın,genel,negatif
Herkes sağlam diye iyi yorum yazıyor ürünü kullandım  1 ay yorum yapıyorum şimdiden kasıyor kamerası falan sıklıkla titriyor önermiyorum 1 2 bine sebep almayın,kalite,negatif
Herkes sağlam diye iyi yorum yazıyor ürünü kullandım  1 ay yorum yapıyorum şimdiden kasıyor kamerası falan sıklıkla titriyor önermiyorum 1 2 bine sebep almayın,ses_goruntu,negatif
Herkese tavsiye ederim paketlemesi güzeldi 2 günde geldi,genel,pozitif
Herkese tavsiye ederim paketlemesi güzeldi 2 günde geldi,ambalaj,pozitif
