yorum,aspect,sentiment
ürün güzel sevdim şarjı uzun süreli,genel,pozitif
ürün güzel sevdim şarjı uzun süreli,batarya,pozitif
Ürün güzeldi paketleme sağlam ve güvenilir geldi,genel,pozitif
Ürün güzeldi paketleme sağlam ve güvenilir geldi,ambalaj,pozitif
Gayet güzel oğluma aldım,genel,pozitif
Ürün elime ulaştı hemen kurulumunu yaptım. Baya beğendim. Batarya konusunda herkes servis istiyor demişti ben öyle bir sorun yaşamadım,genel,pozitif
Ürün elime ulaştı hemen kurulumunu yaptım. Baya beğendim. Batarya konusunda herkes servis istiyor demişti ben öyle bir sorun yaşamadım,batarya,pozitif
Güzel ama çok küçük oyuncak gibi paketlenmesi falan güzeldi sorunsuz geldi,genel,pozitif
Güzel ama çok küçük oyuncak gibi paketlenmesi falan güzeldi sorunsuz geldi,ambalaj,pozitif
Güzel ama çok küçük oyuncak gibi paketlenmesi falan güzeldi sorunsuz geldi,kargo,pozitif
Seviyorum merkez. Her zamanki apple rahatlığı ❤️,genel,pozitif
ürün güzel zaten Apple kalitesi güzel,genel,pozitif
ürün güzel zaten Apple kalitesi güzel,kalite,pozitif
Çok iyi bu fiyata,genel,pozitif
Çok iyi bu fiyata,fiyat,pozitif
Hızlı geldi severek kullanıyorum,kargo,pozitif
Hızlı geldi severek kullanıyorum,genel,pozitif
kaliteli ve güzel geldi.,kalite,pozitif
kaliteli ve güzel geldi.,kargo,pozitif
16 GB Ram Windows tan 8 GB RAM mac e geçiş yaptım. Oyun için almadım. Cihaz beni çok tatmin etmedi.,genel,negatif
"Ürün harika, paketlemesi çok iyi , satıcı çok ilgili , sadece kargo çok geç geldi onun için 4 yıldız veriyorum",genel,pozitif
"Ürün harika, paketlemesi çok iyi , satıcı çok ilgili , sadece kargo çok geç geldi onun için 4 yıldız veriyorum",ambalaj,pozitif
"Ürün harika, paketlemesi çok iyi , satıcı çok ilgili , sadece kargo çok geç geldi onun için 4 yıldız veriyorum",kargo,negatif
"hizlı ve özenli geldi , tesekkürler",kargo,pozitif
"hizlı ve özenli geldi , tesekkürler",ambalaj,pozitif
İstediğim bilgisayardı iyi garantisine bakıp,genel,pozitif
Bana geldiğinde hiç sarjı yoktu ürün önce açılmadı,batarya,negatif
Bana geldiğinde hiç sarjı yoktu ürün önce açılmadı,kargo,pozitif
Sıkıntısız geldi orjinal ürün,kargo,pozitif
Sıkıntısız geldi orjinal ürün,genel,pozitif
apple kalitesi,kalite,pozitif
Mümkünse daha fazla RAM i olan bir modelini tercih edin,genel,notr
Mümkünse daha fazla RAM i olan bir modelini tercih edin,batarya,notr
Çok hafif inanılmaz. Teşekkürler Trendyol,genel,pozitif
Şimdilik bir sorun yok çok şükür,genel,pozitif
"tek sıkıntı garanti süremi erkenden başlatmışlar, onun dışında sağlam geldi",genel,negatif
"tek sıkıntı garanti süremi erkenden başlatmışlar, onun dışında sağlam geldi",kargo,pozitif
Mükemmel  çok iyi,genel,pozitif
çok hafif ve zarif,genel,pozitif
Güzel iyi paketleme.,genel,pozitif
Güzel iyi paketleme.,ambalaj,pozitif
"Üründe batarya sorunu vardı, ilgili satıcı ile iletişime geçtim ve iade aldılar. Teşekkür ederim",batarya,negatif
"Üründe batarya sorunu vardı, ilgili satıcı ile iletişime geçtim ve iade aldılar. Teşekkür ederim",genel,pozitif
Sağlam paketleme güvenilir,ambalaj,pozitif
Bilgisayar güzel kargoyla ilgili sıkıntı yaşamıştık şikayetimize dönüş yaptılar,genel,pozitif
Bilgisayar güzel kargoyla ilgili sıkıntı yaşamıştık şikayetimize dönüş yaptılar,kargo,negatif
Bilgisayar güzel kargoyla ilgili sıkıntı yaşamıştık şikayetimize dönüş yaptılar,kargo,pozitif
3 günde geldi gayet iyi apple kalitesi 1 puanı faturasını yollamadıkları için kırdım,kargo,pozitif
3 günde geldi gayet iyi apple kalitesi 1 puanı faturasını yollamadıkları için kırdım,kalite,pozitif
3 günde geldi gayet iyi apple kalitesi 1 puanı faturasını yollamadıkları için kırdım,genel,negatif
"Ürün çok iyi.. sorunsuz ve hızlı ulaştı, teşekkürler.. ancak bu meblağaki bir ürün için fiyata kargo ücreti eklemenizi yadırgadım..",genel,pozitif
"Ürün çok iyi.. sorunsuz ve hızlı ulaştı, teşekkürler.. ancak bu meblağaki bir ürün için fiyata kargo ücreti eklemenizi yadırgadım..",kargo,pozitif
"Ürün çok iyi.. sorunsuz ve hızlı ulaştı, teşekkürler.. ancak bu meblağaki bir ürün için fiyata kargo ücreti eklemenizi yadırgadım..",fiyat,negatif
Biraz geç ulaştı elimize ama güzel,kargo,negatif
Biraz geç ulaştı elimize ama güzel,genel,pozitif
bilgisayar güzel ama teslim edilme süresi biraz uzun ama ürün kaliteli,genel,pozitif
bilgisayar güzel ama teslim edilme süresi biraz uzun ama ürün kaliteli,kargo,negatif
bilgisayar güzel ama teslim edilme süresi biraz uzun ama ürün kaliteli,kalite,pozitif
"ben 32kye aldım, ben aldıktan sonra fiyatının düşmesi gerçekten cok sacma...",fiyat,negatif
"ben 32kye aldım, ben aldıktan sonra fiyatının düşmesi gerçekten cok sacma...",kargo,negatif
şimdilik güzel görünüyor teşekkürler,genel,pozitif
Hızlı Kargo,kargo,pozitif
Ürün sağlam. Geç geldi,kalite,pozitif
Ürün sağlam. Geç geldi,kargo,negatif
ÜRÜNÜ ALACAKLAR DİKKAT: Ürünü aldığımda garanti süresi bitimine 24 değil 16 ay kalmıştı...,genel,negatif
Bir sıkıntı olmdı,genel,pozitif
"Harika ürün, kargo beklediğimden 1-2 gün geç geldi",genel,pozitif
"Harika ürün, kargo beklediğimden 1-2 gün geç geldi",kargo,negatif
Olması gerekenden sadece 1 gün geç geldi. Onun dışında güzel bir ürün paketleme kargo sağlam şekilde elime ulaştı.,kargo,notr
Olması gerekenden sadece 1 gün geç geldi. Onun dışında güzel bir ürün paketleme kargo sağlam şekilde elime ulaştı.,genel,pozitif
Olması gerekenden sadece 1 gün geç geldi. Onun dışında güzel bir ürün paketleme kargo sağlam şekilde elime ulaştı.,ambalaj,pozitif
Ürünü aldıktan kısa süre sonra ciddi bir indirime girdi ve taksit sayısı arttırıldı. Keşke o kampanyaya denk gelseydik.,fiyat,negatif
Fena değil,genel,notr
Çok kısa sürede geldi. Garantisi de onaylı. Ancak cihaz sarjdayken kasada elinizi gezdirdiginizde karıncalanma şeklinde elektrik kaçağı yapıyor.,kargo,pozitif
Çok kısa sürede geldi. Garantisi de onaylı. Ancak cihaz sarjdayken kasada elinizi gezdirdiginizde karıncalanma şeklinde elektrik kaçağı yapıyor.,kalite,negatif
"Bu ürünü bir yıl kullandıktan sonra söyleyebilirim ki, ürün gerçekten çok iyi ve satın aldığıma asla pişman olmadım",genel,pozitif
çok güzel bi ürün şiddetle tavsiye ederim.paketlemesi de süperdi..,genel,pozitif
çok güzel bi ürün şiddetle tavsiye ederim.paketlemesi de süperdi..,ambalaj,pozitif
Çok çok güzel torunum için aldım harika spriz oldu çok beğenildi teşekkürler,genel,pozitif
Bayıldımm çok rahat ve çok kullanışlı,genel,pozitif
Apple kaliteli tabiki tartışılmaz severek kullanıyorum:),kalite,pozitif
Apple kaliteli tabiki tartışılmaz severek kullanıyorum:),genel,pozitif
BİLGİSİYARA GÜZLİLK DEFA İNTERNETEN CESARET EDİP ALDIM MEMNUNUM,genel,pozitif
Çok iyi ben telefonumla kolay eşleşmesi için aldım mükemmel benim işimi görüyor,genel,pozitif
İnanılmaz memnunum iyi ki almışım dediğim şeylerden biri oldu. Paketleme çok güzeldi ve çok hızlı geldi. Teşekkürler Trendyol.,genel,pozitif
İnanılmaz memnunum iyi ki almışım dediğim şeylerden biri oldu. Paketleme çok güzeldi ve çok hızlı geldi. Teşekkürler Trendyol.,ambalaj,pozitif
İnanılmaz memnunum iyi ki almışım dediğim şeylerden biri oldu. Paketleme çok güzeldi ve çok hızlı geldi. Teşekkürler Trendyol.,kargo,pozitif
çok beğendim o kdr hafif ve güzel ki klavyesi de muhteşem,genel,pozitif
Çok güzel bir bilgisayar çok beğendim. İstediğiniz yere çok rahat taşıyabilirsiniz,genel,pozitif
Çok güzel paketlenmiş şekilde geldi çok teşekkür ederim çok beğendim kargo süresi de harikaydı,ambalaj,pozitif
Çok güzel paketlenmiş şekilde geldi çok teşekkür ederim çok beğendim kargo süresi de harikaydı,genel,pozitif
Çok güzel paketlenmiş şekilde geldi çok teşekkür ederim çok beğendim kargo süresi de harikaydı,kargo,pozitif
Çok beğendik ihtiyacı olanı tavsifeye ederim 😊,genel,pozitif
Çok çok iyi sorunsuz ulaştı elime mükemmellll,genel,pozitif
Çok çok iyi sorunsuz ulaştı elime mükemmellll,kargo,pozitif
Mükemmel bilgisayar her işimi hallediyor çok hafif . Şarjıda çok uzun gidiyor . Apple kalitesi,genel,pozitif
Mükemmel bilgisayar her işimi hallediyor çok hafif . Şarjıda çok uzun gidiyor . Apple kalitesi,batarya,pozitif
Mükemmel bilgisayar her işimi hallediyor çok hafif . Şarjıda çok uzun gidiyor . Apple kalitesi,kalite,pozitif
Ürün gayet güzel şarj süresi de çok iyi paketlenmesi de çok özenliydi bayıldım tek kelimeyle 💕,genel,pozitif
Ürün gayet güzel şarj süresi de çok iyi paketlenmesi de çok özenliydi bayıldım tek kelimeyle 💕,batarya,pozitif
Ürün gayet güzel şarj süresi de çok iyi paketlenmesi de çok özenliydi bayıldım tek kelimeyle 💕,ambalaj,pozitif
Çok çok güzel çok beğenerek almıştım zaten boyutu diğer bilgisayarlara göre biraz küçük olsa da ben kendime göre yeterli buluyorum çok pratik ve çok güzel,genel,pozitif
herşey çok sorunsuz elime ulaştı paketlemesi çok iyiydi herhangi bir sorun yoktu satıcıya teşekkür ederiz,kargo,pozitif
herşey çok sorunsuz elime ulaştı paketlemesi çok iyiydi herhangi bir sorun yoktu satıcıya teşekkür ederiz,ambalaj,pozitif
Sorunsuz bir şekilde elime ulaştı.Çok güzel ve kullanışlı bir bilgisayar .Ders için aldığımdan şarjı bir hafta gidiyor .Almanızı tavsiye ederim,kargo,pozitif
Sorunsuz bir şekilde elime ulaştı.Çok güzel ve kullanışlı bir bilgisayar .Ders için aldığımdan şarjı bir hafta gidiyor .Almanızı tavsiye ederim,genel,pozitif
Sorunsuz bir şekilde elime ulaştı.Çok güzel ve kullanışlı bir bilgisayar .Ders için aldığımdan şarjı bir hafta gidiyor .Almanızı tavsiye ederim,batarya,pozitif
Eşim işleri için aldı çok güzel memnun,genel,pozitif
"Arkadaşlar cidden çok güzel, rengi konusunda silver ile arasında kalmıştım ama iyi ki bu rengi seçmişim",genel,pozitif
güzel ve sorunsuz. Tavsiye ederim.,genel,pozitif
Uzun süre Pro kullandım çok memnundum MacBook ömürlük bilgisayar ve sorunsuz teslim aldım,genel,pozitif
Uzun süre Pro kullandım çok memnundum MacBook ömürlük bilgisayar ve sorunsuz teslim aldım,kargo,pozitif
Üründen aşırı derecede memnunum şarjı çok uzun süre gidiyor ayrıca çok konforlu taşıması çok kolay,genel,pozitif
Üründen aşırı derecede memnunum şarjı çok uzun süre gidiyor ayrıca çok konforlu taşıması çok kolay,batarya,pozitif
Kardeşime almıştım . Yüksek lisans öğrencisi . Beğendi . Sorun çıkmadı . Teşekkürler . Ekonomik durumu kısıtlı olanlar hala bu modeli düşünebilir . Bence çok gü,genel,pozitif
Mükemmel bir şey okul için kullanacağım,genel,pozitif
Mükemmel görselin aynısı paket leme çok iyi,genel,pozitif
Mükemmel görselin aynısı paket leme çok iyi,ambalaj,pozitif
cok güzel kardeşime hediye aldım çok mutlu oldu,genel,pozitif
Çok kibar çok güzel ürün. Yazılım öğrencisi olarak almak istedim...,genel,pozitif
Tam istediğim gibi geldi herkese tavsiye ediyorum,genel,pozitif
Kızıma aldım çok beğendi kalite her zaman farkettiriyor,genel,pozitif
Kızıma aldım çok beğendi kalite her zaman farkettiriyor,kalite,pozitif
"çok beğendim, kesinlikle tavsiye ederim. şimdilik bir sorun yok gibi geldi çok teşekkür ederim :)",genel,pozitif
Ürün elime sorunsuz ulaştı satıcı trendyol olarak aldım hiç bir sorun yoktu 4 aydır kullanıyorum memnunum,kargo,pozitif
Ürün elime sorunsuz ulaştı satıcı trendyol olarak aldım hiç bir sorun yoktu 4 aydır kullanıyorum memnunum,genel,pozitif
Paketlemesi çok güzeldi. Hiçbir zarar görmemiş. Okul için aldım. Çok güzel.,ambalaj,pozitif
Paketlemesi çok güzeldi. Hiçbir zarar görmemiş. Okul için aldım. Çok güzel.,genel,pozitif
Fiyat performansı memnunum şarjı harika,fiyat,pozitif
Fiyat performansı memnunum şarjı harika,batarya,pozitif
"Çok beğendik ve memnun kaldık inceliği, rengi çok iyi",genel,pozitif
Çok hızlı ve sorunsuz bir şekilde elime ulaştı teşekkür ederim,kargo,pozitif
Çok güzel okul işi için aldım,genel,pozitif
aylardır kullanıyorum şarjı hızlı dolup yavaş bitiyor bilişimci kadar bilemem özelliklerini ama öğrenciler için birebirr,batarya,pozitif
aylardır kullanıyorum şarjı hızlı dolup yavaş bitiyor bilişimci kadar bilemem özelliklerini ama öğrenciler için birebirr,genel,pozitif
Çok kullanışlı ve benim için yeterli bi bilgisayar okul için ideal ama iş için bilemiyorum,genel,pozitif
ürün gayet güzel ve kullanışlı severek kullanıyorum,genel,pozitif
Bu kadar para vererek iyi mi yaptım bilmiyorum ama zaten ihtiyacım vardı...,genel,pozitif
Sapasağlam sorunsuz hızlı ve güvenli şekilde elime ulaştı çok teşekkürler,kargo,pozitif
kızım için aldım. Çok memnun,genel,pozitif
Çok memnunuz sorunsuz,genel,pozitif
çok hızlı bir şekilde elime ulaştı çok memnunum,kargo,pozitif
çok hızlı bir şekilde elime ulaştı çok memnunum,genel,pozitif
Araştırarak aldım.Kullanış açısından telefonumla uyumu açısından kolaylık sağlayacağını düşündüğüm için tercih ettim.,genel,notr
Bu gün siparişim elime ulaştı. çok memnun kaldım. teşekkür ediyorum.,kargo,pozitif
Bu gün siparişim elime ulaştı. çok memnun kaldım. teşekkür ediyorum.,genel,pozitif
Gerçekten çok kullanışlı tasarımına falan bayıldım,genel,pozitif
çok hziki geldi çok güzel herkese tavsiye ederim,kargo,pozitif
çok hziki geldi çok güzel herkese tavsiye ederim,genel,pozitif
Mükemmel ürün efsane hızlı bir kargo 10 saat icinde elimdeydi,genel,pozitif
Mükemmel ürün efsane hızlı bir kargo 10 saat icinde elimdeydi,kargo,pozitif
Çok teşekkürler çok beğendim çok memnun kaldım,genel,pozitif
Günlük işlerim için dijital marketing için aldım gayet güzel satıcı da iyi,genel,pozitif
"Çok hızlı ulaşdı elime, acelem var oldugunu söyledim hemen gönderdiler sagolsun...",kargo,pozitif
"Çok hızlı ulaşdı elime, acelem var oldugunu söyledim hemen gönderdiler sagolsun...",genel,pozitif
ürünü sorgulattım orijinal ürün. Sorunsuz ve çok hızlı geldi teşekkürleerr,genel,pozitif
ürünü sorgulattım orijinal ürün. Sorunsuz ve çok hızlı geldi teşekkürleerr,kargo,pozitif
Çok beğendim sorunsuz teslim edildi👍🏻,genel,pozitif
Çok beğendim sorunsuz teslim edildi👍🏻,kargo,pozitif
harika sorunsuz ulaştı,genel,pozitif
harika sorunsuz ulaştı,kargo,pozitif
çok memnun kaldım kargo cok hızlıydı sapasağlam geldi,genel,pozitif
çok memnun kaldım kargo cok hızlıydı sapasağlam geldi,kargo,pozitif
Çok güzel cihaz memnunum normalden uygun fiyata aldım,genel,pozitif
Çok güzel cihaz memnunum normalden uygun fiyata aldım,fiyat,pozitif
Çok hızlı geldi çok memnunum,kargo,pozitif
Çok hızlı geldi çok memnunum,genel,pozitif
her zamanki gibi troy kalitesi çok teşekkür ediyorum,kalite,pozitif
Hafifliği inceliği ve taşınabilir olması sebebiyle MacBook’a geçiş yaptım gayet memnunum,genel,pozitif
Bir günde elime ulaştı işletim sistemi ideal ve çok işlevsel bir kullanım aramayanlara yeterli.,kargo,pozitif
Bir günde elime ulaştı işletim sistemi ideal ve çok işlevsel bir kullanım aramayanlara yeterli.,genel,pozitif
kizim için aldım çok memnun,genel,pozitif
çok güzel iyi ki almışım dediğim şeylerden biri deprem bölgesinde olmama rağmen 24 saat geçmeden elime ulaştı teşekkürlerr🫶🏻,genel,pozitif
çok güzel iyi ki almışım dediğim şeylerden biri deprem bölgesinde olmama rağmen 24 saat geçmeden elime ulaştı teşekkürlerr🫶🏻,kargo,pozitif
Çok seviyorum ürünü çok memnunum,genel,pozitif
"Ürünü 1 aydır kullanıyorum, genel olarak Apple kalitesi belli oluyor. Ekran çözünürlüğü çok kaliteli...",kalite,pozitif
"Ürünü 1 aydır kullanıyorum, genel olarak Apple kalitesi belli oluyor. Ekran çözünürlüğü çok kaliteli...",ses_goruntu,pozitif
oğlum için aldım çok memnun,genel,pozitif
Çok memnunum. Çok teşekkür ediyorum. 💻🙏🏻,genel,pozitif
çok beğendim. apple bilgisayar için son derece ekonomik ve kullanışlı bir bilgisayar...,genel,pozitif
