yorum,cumle,aspect,sentiment
Cihaz kusurlu çıktı. Bataryasında sıkıntı var kutuyu açtıktan sonra bilgisayarı açtığımda ilk olarak Apple logosu çıkmadı daha sonra şarja taktığımda açıldı. Şa,bataryasında sıkıntı var kutuyu açtıktan sonra bilgisayarı açtığımda ilk olarak apple logosu çıkmadı daha sonra şarja taktığımda açıldı,batarya,notr
Cihaz kusurlu çıktı. Bataryasında sıkıntı var kutuyu açtıktan sonra bilgisayarı açtığımda ilk olarak Apple logosu çıkmadı daha sonra şarja taktığımda açıldı. Şa,bataryasında sıkıntı var kutuyu açtıktan sonra bilgisayarı açtığımda ilk olarak apple logosu çıkmadı daha sonra şarja taktığımda açıldı,ambalaj,notr
Ürünü aldım pil sorunu verdi.şu an servise verdim laptopu.ilk defabilgisayar aldım trendyoldan çok üzüldüm ilk günden servise gitmesine bilgisayarımın.yetkili s,ürünü aldım pil sorunu verdi,fiyat,notr
Ürünü aldım pil sorunu verdi.şu an servise verdim laptopu.ilk defabilgisayar aldım trendyoldan çok üzüldüm ilk günden servise gitmesine bilgisayarımın.yetkili s,ürünü aldım pil sorunu verdi,batarya,notr
Ürünü aldım pil sorunu verdi.şu an servise verdim laptopu.ilk defabilgisayar aldım trendyoldan çok üzüldüm ilk günden servise gitmesine bilgisayarımın.yetkili s,şu an servise verdim laptopu,genel,notr
Ürünü aldım pil sorunu verdi.şu an servise verdim laptopu.ilk defabilgisayar aldım trendyoldan çok üzüldüm ilk günden servise gitmesine bilgisayarımın.yetkili s,ilk defabilgisayar aldım trendyoldan çok üzüldüm ilk günden servise gitmesine bilgisayarımın,fiyat,notr
"Ürünü değişim için iade ettim. Şarjı %1 de kalıyordu sürekli, ürünün garantisini sorgulattım 50 gün kaldığını öğrendim. Yani ürün sorunluydu ben de değişime gön",ürünü değişim için iade ettim,genel,negatif
"Ürünü değişim için iade ettim. Şarjı %1 de kalıyordu sürekli, ürünün garantisini sorgulattım 50 gün kaldığını öğrendim. Yani ürün sorunluydu ben de değişime gön","şarjı 1 de kalıyordu sürekli, ürünün garantisini sorgulattım 50 gün kaldığını öğrendim",batarya,notr
"Ürünü değişim için iade ettim. Şarjı %1 de kalıyordu sürekli, ürünün garantisini sorgulattım 50 gün kaldığını öğrendim. Yani ürün sorunluydu ben de değişime gön",yani ürün sorunluydu ben de değişime gön,genel,negatif
Kargom bugün geldi fakat pil servis öneriliyor olarak gözüküyor ve şarj olmuyor,kargom bugün geldi,kargo,notr
Kargom bugün geldi fakat pil servis öneriliyor olarak gözüküyor ve şarj olmuyor,pil servis öneriliyor olarak gözüküyor ve şarj olmuyor,batarya,negatif
Ürün bozuk geldi iade aldılar ama pili vs bozuk geldi görmeden almayın buradan 2020 çıkışlı alıp stoğa koymuşlar garantisi de bitmek üzere  geldi,ürün bozuk geldi iade aldılar,kargo,negatif
Ürün bozuk geldi iade aldılar ama pili vs bozuk geldi görmeden almayın buradan 2020 çıkışlı alıp stoğa koymuşlar garantisi de bitmek üzere  geldi,pili vs bozuk geldi görmeden almayın buradan 2020 çıkışlı alıp stoğa koymuşlar garantisi de bitmek üzere geldi,kargo,negatif
Ürün bozuk geldi iade aldılar ama pili vs bozuk geldi görmeden almayın buradan 2020 çıkışlı alıp stoğa koymuşlar garantisi de bitmek üzere  geldi,pili vs bozuk geldi görmeden almayın buradan 2020 çıkışlı alıp stoğa koymuşlar garantisi de bitmek üzere geldi,batarya,negatif
Ürün bataryası arızalı çıktı. Bilgisayar şarj olmuyor. Depoda yıllardır durmaktan sanırım batarya ölmüş. Firmaya gönderdim değişim için. Fakat firma bana açılmı,ürün bataryası arızalı çıktı,batarya,negatif
Ürün bataryası arızalı çıktı. Bilgisayar şarj olmuyor. Depoda yıllardır durmaktan sanırım batarya ölmüş. Firmaya gönderdim değişim için. Fakat firma bana açılmı,bilgisayar şarj olmuyor,batarya,negatif
Ürün bataryası arızalı çıktı. Bilgisayar şarj olmuyor. Depoda yıllardır durmaktan sanırım batarya ölmüş. Firmaya gönderdim değişim için. Fakat firma bana açılmı,depoda yıllardır durmaktan sanırım batarya ölmüş,batarya,notr
"17.11.2024 tarihinde satın aldığım cihaz teslim edildiği gün pil servisi gerekiyor şeklinde uyarı verdi, apple desteğe götürdüm cihazın 2023te satın alındığını","2024 tarihinde satın aldığım cihaz teslim edildiği gün pil servisi gerekiyor şeklinde uyarı verdi, apple desteğe götürdüm cihazın 2023te satın alındığını",kargo,notr
"17.11.2024 tarihinde satın aldığım cihaz teslim edildiği gün pil servisi gerekiyor şeklinde uyarı verdi, apple desteğe götürdüm cihazın 2023te satın alındığını","2024 tarihinde satın aldığım cihaz teslim edildiği gün pil servisi gerekiyor şeklinde uyarı verdi, apple desteğe götürdüm cihazın 2023te satın alındığını",batarya,notr
Beklemekten pil ömrü dolmuş pil şarj etmiyor görseldeki gibi uyarı veriyor. Ayrıca garantisi 1 ay kalmış nasıl olabiliyor böyle bir şey inanamıyorun. İade için,beklemekten pil ömrü dolmuş pil şarj etmiyor görseldeki gibi uyarı veriyor,batarya,notr
Asla tavsiye etmiyorum. Pil uyarısı verdiğini yorumlarda gördüm ancak trendyola güvendim. Garanti destek süresi aralık2024 te bitecek gözüküyor. Ben ekim 2024 t,pil uyarısı verdiğini yorumlarda gördüm,batarya,notr
Bataryası bozuk bilgisayar satıyosunuz.O kadar para verip alıyoruz.Şarj olmuyo iade🥹,bataryası bozuk bilgisayar satıyosunuz,batarya,negatif
Bataryası bozuk bilgisayar satıyosunuz.O kadar para verip alıyoruz.Şarj olmuyo iade🥹,o kadar para verip alıyoruz,fiyat,notr
Bataryası bozuk bilgisayar satıyosunuz.O kadar para verip alıyoruz.Şarj olmuyo iade🥹,şarj olmuyo iade,batarya,notr
garanti süresi 1 yıl geriden başlamış satıcı uyarmadı. sorunu apple ile çözmeye çalışıyorum. tavsiye etmem,garanti süresi 1 yıl geriden başlamış satıcı uyarmadı. sorunu apple ile çözmeye çalışıyorum. tavsiye etmem,genel,notr
Ürünü çok beğenerek aldım ancak ürün servis hatalı çıktı. Trendyol kendi ürünün arkasında durmuyor. değişime gönderdim değişim için marka ile benim görüşmemi be,ürünü çok beğenerek aldım,fiyat,notr
Ürünü çok beğenerek aldım ancak ürün servis hatalı çıktı. Trendyol kendi ürünün arkasında durmuyor. değişime gönderdim değişim için marka ile benim görüşmemi be,ürün servis hatalı çıktı,genel,negatif
Ürünü çok beğenerek aldım ancak ürün servis hatalı çıktı. Trendyol kendi ürünün arkasında durmuyor. değişime gönderdim değişim için marka ile benim görüşmemi be,trendyol kendi ürünün arkasında durmuyor,genel,notr
Ürün elime ulaştı pil durumuyla ilgili servis öneriliyor diyor ve Trendyol bu konuda gerekli ilgiyi göstermiyor,ürün elime ulaştı pil durumuyla ilgili servis öneriliyor diyor ve trendyol bu konuda gerekli ilgiyi göstermiyor,kargo,pozitif
Ürün elime ulaştı pil durumuyla ilgili servis öneriliyor diyor ve Trendyol bu konuda gerekli ilgiyi göstermiyor,ürün elime ulaştı pil durumuyla ilgili servis öneriliyor diyor ve trendyol bu konuda gerekli ilgiyi göstermiyor,batarya,pozitif
"Websinial satıcısından aldigim Macbook 13” hasarlı olarak, faturasinin farkli adrese gönderilmesini ozellikle secmeme ragmen hasarli, yarı açılmış halde teslim","websinial satıcısından aldigim macbook 13 hasarlı olarak, faturasinin farkli adrese gönderilmesini ozellikle secmeme ragmen hasarli, yarı açılmış halde teslim",kargo,notr
Garanti süresi iki yıl demesine rağmen garantisi 6ay sonra biten ürünü göndermişler bu da demektir ki ürün kullanılmış ve paket geldiğinde ilk ben açmış olmama,garanti süresi iki yıl demesine rağmen garantisi 6ay sonra biten ürünü göndermişler bu da demektir ki ürün kullanılmış ve paket geldiğinde ilk ben açmış olmama,kargo,notr
Garanti süresi iki yıl demesine rağmen garantisi 6ay sonra biten ürünü göndermişler bu da demektir ki ürün kullanılmış ve paket geldiğinde ilk ben açmış olmama,garanti süresi iki yıl demesine rağmen garantisi 6ay sonra biten ürünü göndermişler bu da demektir ki ürün kullanılmış ve paket geldiğinde ilk ben açmış olmama,ambalaj,notr
bilgisayar bozuk geldi şarj olmuyor sürekli yüzde 1 de ve Trendyol değişim yapmıyor stok da olmasına rağmen diyorlar ki iade yapın çünkü benim aldığım ürün 2700,bilgisayar bozuk geldi şarj olmuyor sürekli yüzde 1 de ve trendyol değişim yapmıyor stok da olmasına rağmen diyorlar ki iade yapın çünkü benim aldığım ürün 2700,kargo,negatif
bilgisayar bozuk geldi şarj olmuyor sürekli yüzde 1 de ve Trendyol değişim yapmıyor stok da olmasına rağmen diyorlar ki iade yapın çünkü benim aldığım ürün 2700,bilgisayar bozuk geldi şarj olmuyor sürekli yüzde 1 de ve trendyol değişim yapmıyor stok da olmasına rağmen diyorlar ki iade yapın çünkü benim aldığım ürün 2700,kalite,negatif
bilgisayar bozuk geldi şarj olmuyor sürekli yüzde 1 de ve Trendyol değişim yapmıyor stok da olmasına rağmen diyorlar ki iade yapın çünkü benim aldığım ürün 2700,bilgisayar bozuk geldi şarj olmuyor sürekli yüzde 1 de ve trendyol değişim yapmıyor stok da olmasına rağmen diyorlar ki iade yapın çünkü benim aldığım ürün 2700,batarya,negatif
2024 Eylül ayında aldım ama garantisi 2026 ocakta bitiyor yani 2 yıl değil garantisi mesaj atmaya çalışıyorum başka satıcıya yönlendiriliyorum size mesaj bile a,2024 eylül ayında aldım,fiyat,notr
2024 Eylül ayında aldım ama garantisi 2026 ocakta bitiyor yani 2 yıl değil garantisi mesaj atmaya çalışıyorum başka satıcıya yönlendiriliyorum size mesaj bile a,garantisi 2026 ocakta bitiyor yani 2 yıl değil garantisi mesaj atmaya çalışıyorum başka satıcıya yönlendiriliyorum size mesaj bile a,batarya,negatif
Şarj olmuyor bataryası bitik geldi üstünde çizikler ve parmak izleri vardı almayın,şarj olmuyor bataryası bitik geldi üstünde çizikler ve parmak izleri vardı almayın,kargo,negatif
Şarj olmuyor bataryası bitik geldi üstünde çizikler ve parmak izleri vardı almayın,şarj olmuyor bataryası bitik geldi üstünde çizikler ve parmak izleri vardı almayın,batarya,negatif
Gelen cihaz sıfır olmasına rağmen şarj almıyor. Kusurlu ürün olarak iade etmek istediğimde değişim-iade-onarım-kullanıcı hatası olarak 4 farklı sonuç ile karşıl,gelen cihaz sıfır olmasına rağmen şarj almıyor,batarya,notr
Gelen cihaz sıfır olmasına rağmen şarj almıyor. Kusurlu ürün olarak iade etmek istediğimde değişim-iade-onarım-kullanıcı hatası olarak 4 farklı sonuç ile karşıl,kusurlu ürün olarak iade etmek istediğimde değişim-iade-onarım-kullanıcı hatası olarak 4 farklı sonuç ile karşıl,genel,notr
Ürün arızalı çıktı bataryası ölmüş iki yıl garantili diyor ama servise götürdüğümde 5 aylık bir garantisi vardı.yani ürünü trendyol aldığı için mevcut garanti s,ürün arızalı çıktı bataryası ölmüş iki yıl garantili diyor,batarya,negatif
Ürün arızalı çıktı bataryası ölmüş iki yıl garantili diyor ama servise götürdüğümde 5 aylık bir garantisi vardı.yani ürünü trendyol aldığı için mevcut garanti s,yani ürünü trendyol aldığı için mevcut garanti s,genel,notr
Bilgisayarı trendyol satıcısından aldım. Şaka gibi bataryası olmuyor. Şarjdan çıkardığım an kapanıyor. Servise götüreceğim şimdi 1 günlük bilgisayarımı. Trendyo,bilgisayarı trendyol satıcısından aldım,fiyat,notr
Bilgisayarı trendyol satıcısından aldım. Şaka gibi bataryası olmuyor. Şarjdan çıkardığım an kapanıyor. Servise götüreceğim şimdi 1 günlük bilgisayarımı. Trendyo,şaka gibi bataryası olmuyor,batarya,negatif
Bilgisayarı trendyol satıcısından aldım. Şaka gibi bataryası olmuyor. Şarjdan çıkardığım an kapanıyor. Servise götüreceğim şimdi 1 günlük bilgisayarımı. Trendyo,şarjdan çıkardığım an kapanıyor,batarya,negatif
Hayatımda ilk defa satın aldığım ürüne değerlendirme yazıyorum resmen fiyasko. 15.11.2024 tarihinde elime ulaşan mac m1 kurulum sonrası şarj almadığını %1 de ta,hayatımda ilk defa satın aldığım ürüne değerlendirme yazıyorum resmen fiyasko,genel,notr
Hayatımda ilk defa satın aldığım ürüne değerlendirme yazıyorum resmen fiyasko. 15.11.2024 tarihinde elime ulaşan mac m1 kurulum sonrası şarj almadığını %1 de ta,2024 tarihinde elime ulaşan mac m1 kurulum sonrası şarj almadığını 1 de ta,batarya,notr
Yeni aldım ama şarj etmiyor çok üzüldüm destek bekliyorum daha 1 günlük aldığım bir şey nasıl şarj olmuyor servise gidin pil eski diyor eski bir şey mi aldım:(,yeni aldım,fiyat,notr
Yeni aldım ama şarj etmiyor çok üzüldüm destek bekliyorum daha 1 günlük aldığım bir şey nasıl şarj olmuyor servise gidin pil eski diyor eski bir şey mi aldım:(,şarj etmiyor çok üzüldüm destek bekliyorum daha 1 günlük aldığım bir şey nasıl şarj olmuyor servise gidin pil eski diyor eski bir şey mi aldım:,fiyat,negatif
Yeni aldım ama şarj etmiyor çok üzüldüm destek bekliyorum daha 1 günlük aldığım bir şey nasıl şarj olmuyor servise gidin pil eski diyor eski bir şey mi aldım:(,şarj etmiyor çok üzüldüm destek bekliyorum daha 1 günlük aldığım bir şey nasıl şarj olmuyor servise gidin pil eski diyor eski bir şey mi aldım:,batarya,negatif
"Ürün kusurlu geldi. Ürünün alt kısmı yamuk olduğu için masada düz durmuyor. Sağ hoparlörü yüksek seslerde cızırtı yapıyor. Satıcı ""TRENDYOL"" ile iletişime geçti",ürün kusurlu geldi,kargo,notr
"Ürün kusurlu geldi. Ürünün alt kısmı yamuk olduğu için masada düz durmuyor. Sağ hoparlörü yüksek seslerde cızırtı yapıyor. Satıcı ""TRENDYOL"" ile iletişime geçti",ürünün alt kısmı yamuk olduğu için masada düz durmuyor,genel,notr
"Ürün kusurlu geldi. Ürünün alt kısmı yamuk olduğu için masada düz durmuyor. Sağ hoparlörü yüksek seslerde cızırtı yapıyor. Satıcı ""TRENDYOL"" ile iletişime geçti",sağ hoparlörü yüksek seslerde cızırtı yapıyor,kalite,notr
"Ürün kusurlu geldi. Ürünün alt kısmı yamuk olduğu için masada düz durmuyor. Sağ hoparlörü yüksek seslerde cızırtı yapıyor. Satıcı ""TRENDYOL"" ile iletişime geçti",sağ hoparlörü yüksek seslerde cızırtı yapıyor,ses_goruntu,notr
"Tam bir hayalkırıklığı oldu. Aldığımız MacBook bilgisayarı açtık şarj etmek istedik, ancak %1 de sabit duruyor yani şarj olmuyor ve “pil servis uyarısı” veriyor","aldığımız macbook bilgisayarı açtık şarj etmek istedik,",batarya,notr
"Tam bir hayalkırıklığı oldu. Aldığımız MacBook bilgisayarı açtık şarj etmek istedik, ancak %1 de sabit duruyor yani şarj olmuyor ve “pil servis uyarısı” veriyor",1 de sabit duruyor yani şarj olmuyor ve pil servis uyarısı veriyor,batarya,negatif
Almayın arkadaşlar paramla rezil oldum resmen ürün geldi şarjı %1 takılı kalıyor fişten çektiğim anda kapanıyor iade bile değil değilim istedim herkeste olduğu,almayın arkadaşlar paramla rezil oldum resmen ürün geldi şarjı 1 takılı kalıyor fişten çektiğim anda kapanıyor iade bile değil değilim istedim herkeste olduğu,kargo,negatif
Almayın arkadaşlar paramla rezil oldum resmen ürün geldi şarjı %1 takılı kalıyor fişten çektiğim anda kapanıyor iade bile değil değilim istedim herkeste olduğu,almayın arkadaşlar paramla rezil oldum resmen ürün geldi şarjı 1 takılı kalıyor fişten çektiğim anda kapanıyor iade bile değil değilim istedim herkeste olduğu,fiyat,negatif
Almayın arkadaşlar paramla rezil oldum resmen ürün geldi şarjı %1 takılı kalıyor fişten çektiğim anda kapanıyor iade bile değil değilim istedim herkeste olduğu,almayın arkadaşlar paramla rezil oldum resmen ürün geldi şarjı 1 takılı kalıyor fişten çektiğim anda kapanıyor iade bile değil değilim istedim herkeste olduğu,batarya,negatif
Ürün hiçbir şekilde şarj olmuyor kusurlu ürün gönderildi,ürün hiçbir şekilde şarj olmuyor kusurlu ürün gönderildi,kargo,negatif
Ürün hiçbir şekilde şarj olmuyor kusurlu ürün gönderildi,ürün hiçbir şekilde şarj olmuyor kusurlu ürün gönderildi,batarya,negatif
